unit,items,value_count,average_placement
TFT8_Sejuani,"FrozenHeart, GargoyleStoneplate, WarmogsArmor",12,3.33
TFT8_Senna,"None, None, None",11993,4.5
TFT8_Senna,"None, None, ZekesHerald",23,4.57
TFT8_Senna,"GuinsoosRageblade, None, None",21,5.19
TFT8_Sett,"None, None, Shroud",13,2.77
TFT8_Sett,"None, None, TitanicHydra",14,3.36
TFT8_Sett,"None, None, Zephyr",13,3.77
TFT8_Sett,"BrawlerEmblemItem, None, None",38,3.89
TFT8_Sett,"None, None, None",11784,4.51
TFT8_Sivir,"None, None, Zephyr",14,3.14
TFT8_Sivir,"None, None, ZekesHerald",23,4.0
TFT8_Sivir,"LastWhisper, None, None",20,4.45
TFT8_Sivir,"None, None, None",12048,4.49
TFT8_Sivir,"None, None, StatikkShiv",15,4.6
TFT8_Sona,"JeweledGauntlet, MadredsBloodrazor, SeraphsEmbrace",12,4.08
TFT8_Sona,"None, None, SeraphsEmbrace",37,4.14
TFT8_Sona,"None, None, StatikkShiv",27,4.19
TFT8_Sona,"GenAE, None, None",17,4.41
TFT8_Sona,"None, None, None",11928,4.5
TFT8_Soraka,"None, None, StatikkShiv",13,3.0
TFT8_Soraka,"HextechGunblade, JeweledGauntlet, SeraphsEmbrace",23,3.7
TFT8_Soraka,"HextechGunblade, MadredsBloodrazor, SeraphsEmbrace",18,3.94
TFT8_Soraka,"MadredsBloodrazor, RabadonsDeathcap, SeraphsEmbrace",19,4.05
TFT8_Soraka,"ArchangelsStaff, MadredsBloodrazor, SeraphsEmbrace",21,4.05
TFT8_Sylas,"None, None, None",12298,4.5
TFT8_Syndra,"None, None, SeraphsEmbrace",31,2.74
TFT8_Syndra,"GuinsoosRageblade, None, None",14,3.14
TFT8_Syndra,"GenAE, None, None",24,3.17
TFT8_Syndra,"None, None, Zephyr",25,3.56
TFT8_Syndra,"GuardianAngel, None, None",13,3.69
TFT8_Taliyah,"ArchangelsStaff, MadredsBloodrazor, SpearOfShojin",24,4.12
TFT8_Taliyah,"JeweledGauntlet, PowerGauntlet, SpearOfShojin",16,4.19
TFT8_Taliyah,"JeweledGauntlet, MadredsBloodrazor, SeraphsEmbrace",20,4.4
TFT8_Taliyah,"HextechGunblade, JeweledGauntlet, SpearOfShojin",21,4.48
TFT8_Taliyah,"None, None, None",11516,4.49
TFT8_Talon,"None, None, Zephyr",23,2.65
TFT8_Talon,"Chalice, None, None",14,3.36
TFT8_Talon,"None, None, Shroud",19,3.42
TFT8_Talon,"ADMINEmblemItem, None, None",13,4.31
TFT8_Talon,"None, None, None",12062,4.52
TFT8_Urgot,"None, None, Shroud",23,2.35
TFT8_Urgot,"None, None, OxForceEmblemItem",14,2.79
TFT8_Urgot,"None, None, Zephyr",18,2.83
TFT8_Urgot,"Bloodthirster, None, None",12,2.92
TFT8_Urgot,"None, None, TearOfTheGoddess",18,3.22
TFT8_Vayne,"MadredsBloodrazor, None, None",19,3.21
TFT8_Vayne,"InterPolarisEmblemItem, None, None",15,3.67
TFT8_Vayne,"None, None, ZekesHerald",17,3.76
TFT8_Vayne,"None, None, Zephyr",25,4.12
TFT8_Vayne,"None, None, StatikkShiv",28,4.25
TFT8_Velkoz,"JeweledGauntlet, RabadonsDeathcap, SpearOfShojin",17,3.41
TFT8_Velkoz,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",17,3.94
TFT8_Velkoz,"None, None, SeraphsEmbrace",16,4.12
TFT8_Velkoz,"JeweledGauntlet, MadredsBloodrazor, SpearOfShojin",29,4.31
TFT8_Velkoz,"None, None, StatikkShiv",26,4.35
TFT8_Vi,"None, None, Zephyr",53,2.91
TFT8_Vi,"Chalice, None, None",15,3.27
TFT8_Vi,"None, None, Shroud",81,3.35
TFT8_Vi,"MascotEmblemItem, None, None",17,3.47
TFT8_Vi,"LocketOfTheIronSolari, None, None",47,3.51
TFT8_Viego,"HextechGunblade, IonicSpark, JeweledGauntlet",16,3.19
TFT8_Viego,"Bloodthirster, IonicSpark, MadredsBloodrazor",13,3.23
TFT8_Viego,"Bloodthirster, JeweledGauntlet, TitansResolve",56,3.77
TFT8_Viego,"IonicSpark, MadredsBloodrazor, UnstableConcoction",27,3.78
TFT8_Viego,"Bloodthirster, JeweledGauntlet, UnstableConcoction",28,3.79
TFT8_WuKong,"BrawlerEmblemItem, None, None",47,4.4
TFT8_WuKong,"None, None, None",12319,4.5
TFT8_Yasuo,"None, None, Shroud",24,3.33
TFT8_Yasuo,"None, None, Zephyr",29,3.41
TFT8_Yasuo,"None, None, ZekesHerald",16,3.56
TFT8_Yasuo,"JeweledGauntlet, TitansResolve, UnstableConcoction",14,4.0
TFT8_Yasuo,"HackerEmblemItem, None, None",20,4.15
TFT8_Yuumi,"None, None, Zephyr",19,2.63
TFT8_Yuumi,"None, None, Shroud",12,3.5
TFT8_Yuumi,"None, None, None",12162,4.5
TFT8_Yuumi,"Chalice, None, None",13,4.54
TFT8_Yuumi,"None, None, StatikkShiv",15,5.2
TFT8_Zac,"None, None, Zephyr",13,2.69
TFT8_Zac,"None, None, Shroud",13,2.85
TFT8_Zac,"None, None, TitanicHydra",40,3.82
TFT8_Zac,"None, None, WarmogsArmor",37,4.22
TFT8_Zac,"FrozenHeart, None, None",13,4.23
TFT8_Zed,"GuardianAngel, LastWhisper, TitansResolve",12,3.25
TFT8_Zed,"GuardianAngel, RunaansHurricane, TitansResolve",19,3.47
TFT8_Zed,"GuardianAngel, MadredsBloodrazor, RunaansHurricane",78,3.54
TFT8_Zed,"Deathblade, GuardianAngel, RunaansHurricane",56,3.93
TFT8_Zed,"GuardianAngel, RunaansHurricane, UnstableConcoction",42,3.98
TFT8_Zoe,"Morellonomicon, RabadonsDeathcap, SeraphsEmbrace",14,3.14
TFT8_Zoe,"None, None, Zephyr",32,3.59
TFT8_Zoe,"MadredsBloodrazor, Morellonomicon, SeraphsEmbrace",104,3.69
TFT8_Zoe,"JeweledGauntlet, MadredsBloodrazor, SeraphsEmbrace",49,3.78
TFT8_Zoe,"HextechGunblade, Morellonomicon, SeraphsEmbrace",98,3.87
