unit,items,value_count,average_placement
TFT8_Talon,"None, None, Shroud",13,2.62
TFT8_Talon,"None, None, None",7275,4.51
TFT8_Talon,"Chalice, None, None",17,5.29
TFT8_Urgot,"None, None, UnstableConcoction",12,3.42
TFT8_Urgot,"None, None, None",7029,4.57
TFT8_Vayne,"LastWhisper, None, None",19,4.11
TFT8_Vayne,"None, None, None",6885,4.5
TFT8_Vayne,"GuardianAngel, None, None",26,5.08
TFT8_Vayne,"None, None, ZekesHerald",15,5.33
TFT8_Vayne,"GuinsoosRageblade, None, None",14,5.79
TFT8_Velkoz,"None, None, None",7119,4.51
TFT8_Velkoz,"None, None, StatikkShiv",14,4.57
TFT8_Velkoz,"None, None, SpearOfShojin",30,4.83
TFT8_Vi,"None, None, Zephyr",48,3.48
TFT8_Vi,"None, None, Shroud",45,3.78
TFT8_Vi,"None, None, ZekesHerald",20,4.05
TFT8_Vi,"LocketOfTheIronSolari, None, None",16,4.31
TFT8_Vi,"ADMINEmblemItem, None, None",21,4.48
TFT8_Viego,"IonicSpark, JeweledGauntlet, MadredsBloodrazor",13,3.46
TFT8_Viego,"HextechGunblade, IonicSpark, TitansResolve",15,3.47
TFT8_Viego,"ArchangelsStaff, Bloodthirster, JeweledGauntlet",15,3.67
TFT8_Viego,"IonicSpark, TitansResolve, UnstableConcoction",17,3.71
TFT8_Viego,"Bloodthirster, JeweledGauntlet, RabadonsDeathcap",16,3.75
TFT8_WuKong,"None, None, None",7455,4.5
TFT8_WuKong,"BrawlerEmblemItem, None, None",18,4.67
TFT8_Yasuo,"None, None, Zephyr",13,3.54
TFT8_Yasuo,"None, None, ZekesHerald",16,4.12
TFT8_Yasuo,"None, None, None",7038,4.53
TFT8_Yuumi,"None, None, StatikkShiv",14,3.5
TFT8_Yuumi,"None, None, None",7308,4.5
TFT8_Zac,"None, None, TitanicHydra",22,4.41
TFT8_Zac,"None, None, None",7092,4.49
TFT8_Zac,"None, None, RedBuff",15,4.73
TFT8_Zac,"None, None, Redemption",13,5.08
TFT8_Zac,"None, None, WarmogsArmor",34,5.09
TFT8_Zed,"GuardianAngel, MadredsBloodrazor, TitansResolve",13,3.0
TFT8_Zed,"GuardianAngel, OxForceEmblemItem, RunaansHurricane",19,3.26
TFT8_Zed,"Deathblade, GuardianAngel, RunaansHurricane",51,3.78
TFT8_Zed,"GuardianAngel, RunaansHurricane, TitansResolve",50,3.84
TFT8_Zed,"GuardianAngel, MadredsBloodrazor, RunaansHurricane",37,3.86
TFT8_Zoe,"HeartEmblemItem, MadredsBloodrazor, SeraphsEmbrace",12,3.33
TFT8_Zoe,"Morellonomicon, RabadonsDeathcap, SeraphsEmbrace",14,3.5
TFT8_Zoe,"MadredsBloodrazor, Morellonomicon, SeraphsEmbrace",71,3.52
TFT8_Zoe,"HeartEmblemItem, Morellonomicon, SeraphsEmbrace",36,3.53
TFT8_Zoe,"InterPolarisEmblemItem, None, None",14,3.64
